,dateHourMinute,adMatchedQuery,city,screenResolution,browser,operatingSystem,mobileDeviceInfo,adSlot,adMatchType,impressions,adClicks,adCost,pageviews,timeOnPage,ctr,screenResolutionDist,adMatchedQueryLenDist,hasFarmaOnQuery
3784,2019-04-17 17:07:00,qual o preço da pomada postec,Olinda,360x640,Chrome,Android,Samsung SM-G610M Galaxy J7 Prime,Google search: Top,Phrase match,1.0,1.0,0.29,1.0,288.2,1.0,x-small,short,False
3785,2019-04-17 17:10:00,acti nutri gold comprar,Olinda,360x640,Chrome,Android,Samsung SM-J701MT Gakaxy J7 neo,Google search: Top,Broad match,1.0,1.0,0.29,3.0,25.0,1.0,x-small,short,False
3786,2019-04-17 17:25:00,farmácia em olinda com promoção de nabo lisador,Olinda,320x570,Chrome,Android,Multilaser MS50L,Google search: Top,Broad match,1.0,1.0,0.29,4.0,85.0,1.0,x-small,medium,True
3787,2019-04-17 17:48:00,ultra farma,Recife,412x846,Chrome,Android,Samsung SM-A730F Galaxy A8+,Google search: Top,Phrase match,1.0,1.0,0.29,3.0,228.0,1.0,x-small,very short,True
3788,2019-04-17 17:51:00,onde comprar stressdoron mais barato,Olinda,640x360,Chrome,Android,Samsung SM-A910F Galaxy A9 Pro,Google search: Top,Broad match,1.0,1.0,0.21,3.0,76.0,1.0,x-small,medium,False
3789,2019-04-17 18:56:00,metiocolin b12 drágeas menor preço,Paulista,360x640,Chrome,Android,Multilaser MS60,Google search: Top,Broad match,1.0,1.0,0.27,2.0,211.0,1.0,x-small,medium,False
3790,2019-04-17 19:00:00,metiocolin b12 drágeas menor preço,Paulista,360x640,Chrome,Android,Multilaser MS60,Google search: Top,Broad match,1.0,1.0,0.27,3.0,20.0,1.0,x-small,medium,False
3791,2019-04-17 19:00:00,sibutramina valor,Recife,360x640,Chrome,Android,Motorola XT1635-02 Moto Z Play,Google search: Top,Broad match,1.0,1.0,0.29,3.0,11.0,1.0,x-small,very short,False
3792,2019-04-17 19:14:00,generico do erradic comprar on online,Olinda,360x640,Chrome,Android,Samsung SM-G532MT Galaxy J2 Prime,Google search: Top,Broad match,1.0,1.0,0.29,3.0,12.0,1.0,x-small,medium,False
3793,2019-04-17 19:30:00,qual é o remédio para essa doença,Paulista,360x640,Chrome,Android,Samsung SM-G531BT Galaxy Grand Prime,Google search: Top,Phrase match,1.0,1.0,0.29,3.0,25.0,1.0,x-small,short,False
3794,2019-04-17 19:41:00,farmacia comprar online,Olinda,375x667,Safari,iOS,Apple iPhone,Google search: Top,Phrase match,1.0,1.0,0.24,4.0,21.0,1.0,x-small,short,True
3795,2019-04-17 20:48:00,qual é o valor da pomada gino canesten,Olinda,360x640,Samsung Internet,Android,Samsung SM-G530BT Galaxy Grand Prime,Google search: Top,Phrase match,1.0,1.0,0.29,2.0,11.0,1.0,x-small,medium,False
3796,2019-04-17 21:02:00,farmacia com entrega olind,Olinda,375x667,Chrome,iOS,Apple iPhone,Google search: Top,Broad match,1.0,1.0,0.11,4.0,89.0,1.0,x-small,short,True
3797,2019-04-17 21:23:00,pomada passageadora antibiótico preço,Paulista,360x640,Chrome,Android,Motorola Moto C Plus,Google search: Other,Broad match,1.0,1.0,0.29,3.0,22.0,1.0,x-small,medium,False
3798,2019-04-17 21:48:00,farmacia olinda entrega 24 horas,Recife,360x740,Samsung Internet,Android,Samsung SM-G950F Galaxy S8,Google search: Top,Broad match,1.0,1.0,,1.0,288.2,1.0,x-small,short,True
3799,2019-04-18 07:20:00,endoxafil generico,Recife,360x640,Chrome,Android,Asus Z01MD ZenFone 4 Selfie Pro,Google search: Other,Broad match,1.0,1.0,0.27,1.0,288.2,1.0,x-small,very short,False
3800,2019-04-18 09:04:00,farmácia independente,Recife,320x569,Chrome,Android,Motorola Moto G Play Moto G4 Play,Google search: Top,Broad match,1.0,1.0,0.17,5.0,39.0,1.0,x-small,short,True
3801,2019-04-18 09:11:00,generico de floratil preço,Recife,360x640,Chrome,Android,Motorola Moto G Play Moto G4 Play,Search partners: Top,Phrase match,1.0,1.0,0.11,3.0,39.0,1.0,x-small,short,False
3802,2019-04-18 09:50:00,onde encontrar farmacia em olinda que vende herbarium espinheira santa,Olinda,320x569,Chrome,Android,Samsung SM-G610M Galaxy J7 Prime,Google search: Top,Broad match,1.0,1.0,,4.0,67.0,1.0,x-small,very long,True
3803,2019-04-18 09:58:00,esteroide anabólico comprar injetavel,Recife,414x736,Chrome,iOS,Apple iPhone,Google search: Top,Phrase match,1.0,1.0,0.28,1.0,288.2,1.0,x-small,medium,False
3804,2019-04-18 10:08:00,flancox comprimido 300 pra que serve,Recife,412x846,Android Webview,Android,Samsung SM-J415G Galaxy J4+,Search partners: Top,Broad match,,,0.34,6.0,19.0,1.0,x-small,medium,False
3805,2019-04-18 10:26:00,farmacia em olinda com entrega em domicilio,Olinda,360x640,Chrome,Android,Samsung SM-G570M Galaxy J5 Prime,Google search: Top,Broad match,1.0,1.0,0.27,12.0,337.0,1.0,x-small,medium,True
3806,2019-04-18 11:10:00,lift gold farmacia,Olinda,320x658,Chrome,Android,Samsung SM-J810M Galaxy J8,Google search: Other,Phrase match,1.0,1.0,,5.0,88.0,1.0,x-small,very short,True
3807,2019-04-18 11:59:00,valor do preço do remédioalgialgivol,Olinda,360x640,Chrome,Android,Samsung SM-J500M Galaxy J5,Google search: Top,Phrase match,1.0,1.0,0.29,1.0,288.2,1.0,x-small,medium,False
3808,2019-04-18 12:03:00,valor do remédio algiavol,Olinda,360x640,Chrome,Android,Samsung SM-J500M Galaxy J5,Google search: Other,Broad match,1.0,1.0,0.21,1.0,288.2,1.0,x-small,short,False
3809,2019-04-18 12:19:00,donila 10 20 generico,Recife,360x640,Chrome,Android,Samsung SM-G532MT Galaxy J2 Prime,Google search: Other,Broad match,1.0,1.0,0.29,1.0,288.2,1.0,x-small,short,False
3810,2019-04-18 12:37:00,melhor colirio tratamento glaucoma,Recife,360x640,Chrome,Android,LG LG-M320 X Power 2,Google search: Top,Phrase match,1.0,1.0,0.29,1.0,288.2,1.0,x-small,medium,False
